ID	Other_ID	Other_ID_2	Genus	Species	Material	Element	Site_Region	Site_updated	Site	Country	Lat	Long	Age_Name_BP	Age info	Date_Maximum_BP	Date_Minimum_BP	Accession	Age_note	Meta Population	mt Haplotype	Sex	Y_chr	Cov (reported)			Mean Depth	BoC %	Bam file location_NIH	Bam file location_LMU (OLD)	Bam file location_LMU (LATEST)	VCF-name-GLOBUS	BAM-directory-GLOBUS	BAM-name-GLOBUS	Notes	Reference	v1_148g	name_haplo_VCF	Spcode	Site_Region	Age_Mean_BP	analysis-ID	Wolf-Dog_PCA	Dog_PCA (European, Arctic+NA, East Asia, Near Eastern Africa)
LS0215	1972.856 (D50)		Canis	familiaris	bone	petrous	AfghanHound	AfghanHound1		Afghanistan			Hist_1903	1903					African_NearEast_India_Dogs							1.44	74			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0215a/LS0215a_rmdup.bam					Lachie unpublished historic breed data		LS0215	D	AfghanHound1	Hist_1903	D_AfghanHound1_Hist_1903		
CANIS-ALAS-015	UAM:ES:28769	ALAS_015	Canis	familiaris			Teshekpuk	Teshekpuk1	Teshekpuk Lake	Alaska	70.44	-153.5	3763	3763					preContact_Dogs				1.27			1.33	70.49		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/ALAS_015.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Other/ALAS_015.bam		Other	ALAS_015.bam		Unpublished data		CANIS-ALAS-015	D	Teshekpuk1	3763	D_Teshekpuk1_3763	Dogs	preContact_Dogs
SC1056	PTIL-ACROPOLIS		Canis	familiaris	Bone	Rib fragments	Tilcara	Tilcara1	Pucará de Tilcara	Argentina			950	950	400	1500										1.89	81.29		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient_rehead/SC1056_rmdup.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_Sophy/SC1056_rmdup.bam		Unpub_Sophy	SC1056_rmdup.bam		Sophy unpublished data		SC1056	D	Tilcara1	950	D_Tilcara1_950	Dogs	preContact_Dogs
HOV4			Cuon	alpinus			Hovk	Hovk1	Hovk 1 Cave	Armenia	40.79	45.04	70000	70000					Dhole		M		0.99			1.03	61.45		/dss/dssfs03/pn29bi/pn29bi-dss-0002/canids_bam/ancient/HOV4.bam	/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_AB_wolf/HOV4.bam		Unpub_AB_wolf	HOV4.bam		Bergström et al. (2022) 'Grey wolf genomic history reveals a dual ancestry of dogs', Nature, 607: 313-320		Hov4	#N/A	Hovk1	70000	Dhole_Hovk1_70000	Dhole	Dhole
LS0001	UNE-2 (6N 1734)		Canis	familiaris	bone	petrous	NullarborPlain	NullarborPlain1	NullarborPlain	Australia	-31.16217	128.30161	603	603 calBP	654	551			Dingo							1.43	74.07			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0001_A2/LS0001_A2_rmdup.bam					Lachie unpublished dingo data		LS0001	D	NullarborPlain1	603	D_NullarborPlain1_603	Dingo	Dingo
LS0004	UNE-5 (N 193)		Canis	familiaris	bone	petrous	NullarborPlain	NullarborPlain2	NullarborPlain	Australia	-31.49657	127.46714	216	216 calBP	303	150			Dingo							1.5	73.97			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0004_A2/LS0004_A2_rmdup.bam					Lachie unpublished dingo data		LS0004	D	NullarborPlain2	216	D_NullarborPlain2_216	Dingo	Dingo
LS0012	UNE-13 (N 193)		Canis	familiaris	bone	petrous	NullarborPlain	NullarborPlain3	NullarborPlain	Australia	-31.49657	127.46714	119	119 calBP	264	0			Dingo							1.52	75.88			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0012_A2/LS0012_A2_rmdup.bam					Lachie unpublished dingo data		LS0012	D	NullarborPlain3	119	D_NullarborPlain3_119	Dingo	Dingo
LS0013	UNE-14 (6N 1734)		Canis	familiaris	bone	petrous	NullarborPlain	NullarborPlain4	NullarborPlain	Australia	-31.16217	128.30161	95	95 calBP	252	0			Dingo							0.17	13.98			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0013_A3/LS0013_A3_rmdup.bam					Lachie unpublished dingo data		LS0013	D	NullarborPlain4	95	D_NullarborPlain4_95	Dingo	Dingo
LS0016	UNE-17 (Tusk Cave)		Canis	familiaris	bone	petrous	NullarborPlain	NullarborPlain5	NullarborPlain	Australia	-31.49456	127.42084	104	104 calBP	253	0			Dingo							0.02	1.64			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0016_A3/LS0016_A3_rmdup.bam					Lachie unpublished dingo data		LS0016	D	NullarborPlain5	104	D_NullarborPlain5_104	Dingo	Dingo
LS0018	UNE-19 (N200)		Canis	familiaris	bone	petrous	NullarborPlain	NullarborPlain6	NullarborPlain	Australia	-31.52869	127.23328	2243	2243 calBP	2350	2151			Dingo							0.1	8.98			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/bams2023/LS0018_A3/LS0018_A3_rmdup.bam					Lachie unpublished dingo data		LS0018	D	NullarborPlain6	2243	D_NullarborPlain6_2243	Dingo	Dingo
