Sample_Name	Other_ID	Other_ID_2	Genus	Species	BreedCategory	BreedAbr.	Material	Element	Site_Region	Site_updated	Site	Country	Lat	Long	Age_Name_BP	Age info	Date_Maximum_BP	Date_Minimum_BP	BioProject	Accession	SeqPlatform	Age_note	Meta Population	mt Haplotype	Sex	Y_chr	Cov (reported)	CoverageX	CoverageRatio	Mean Depth	BoC %	Date Sequenced	Notes	Reference	Spcode	Site_Region	Age_Mean_BP	analysis-ID	Wolf-Dog_PCA	"Dog_PCA (European, Arctic+NA, East Asia, Near Eastern Africa)"
Affenpinscher01	CRR055172	Affenpinscher01_33500	Canis	familiaris	Affenpinscher	AFFN									0				PRJNA648123	SAMN15625700	ILLUMINA HI-SEQ 3000		European_Dogs				14.7761	14.8081	0.99783902						D		0	Affenpinscher01	Dogs	European_Dogs
Affenpinscher02	CRR078106	Affenpinscher02_34310	Canis	familiaris	Affenpinscher	AFFN									0				PRJNA648123	SAMN15625701	ILLUMINA HI-SEQ 3000		European_Dogs				10.3734	5.85722	1.77104497						D		0	Affenpinscher02	Dogs	European_Dogs
Affenpinscher03	CRR078107	Affenpinscher03_34314	Canis	familiaris	Affenpinscher	AFFN									0				PRJNA648123	SAMN15625702	ILLUMINA HI-SEQ 3000		European_Dogs		M		19.2589	19.4744	0.98893419						D		0	Affenpinscher03	Dogs	European_Dogs
AfghanHound01		AfghanHound01	Canis	familiaris	Afghan_Hound	AFGH									0				PRJNA208087	SAMN02194722	Illumina HiSeq 2000		African_NearEast_India_Dogs		F		28.3708	15.3887	1.84361252						D		0	AfghanHound01	Dogs	African_NearEast_India_Dogs
AfghanHound03		AfghanHound03	Canis	familiaris	Afghan_Hound	AFGH									0				PRJNA232497	SAMN02485564	Illumina HiSeq 2000		African_NearEast_India_Dogs		M		7.64333	7.71598	0.99058448						D		0	AfghanHound03	Dogs	African_NearEast_India_Dogs
AfghanHound04		AfghanHound04	Canis	familiaris	Afghan_Hound	AFGH									0				PRJNA266585	SAMN03168377	Illumina HiSeq 2000		African_NearEast_India_Dogs				17.5661	9.92331	1.77018555						D		0	AfghanHound04	Dogs	African_NearEast_India_Dogs
AfricanGoldenWolf01	AfricanGoldenWolf_Ethiopia	AfricanGoldenWolf01	Canis	lupaster	African_Golden_Wolf										0				PRJNA494815	SAMN10199001	Illumina HiSeq 2500		Outgroup												W		0	AfricanGoldenWolf01	Outgroup	Wolves
AfricanGoldenWolf02	AfricanGoldenWolfAlgeria	AfricanGoldenWolf02	Canis	lupaster	African_Golden_Wolf										0				PRJCA000335	SAMC009005	Illumina HiSeq 2000		Outgroup												W		0	AfricanGoldenWolf02	Outgroup	Wolves
AfricanGoldenWolf03	AfricanGoldenWolfEgypt	AfricanGoldenWolf03	Canis	lupaster	African_Golden_Wolf										0				PRJCA000335	SAMC010560	Illumina HiSeq 2500		Outgroup												W		0	AfricanGoldenWolf03	Outgroup	Wolves
AfricanGoldenWolf04	AfricanGoldenWolfMorocco	AfricanGoldenWolf04	Canis	lupaster	African_Golden_Wolf										0				PRJCA000335	SAMC010561	Illumina HiSeq 2500		Outgroup												W		0	AfricanGoldenWolf04	Outgroup	Wolves
