Sample	name_haplo_VCF	ena_prj	Bam	Genus	Species	Site_Region	Site_updated	Country	Lat	Long	Meta_Population	Cov_reported	Mean_Depth	BoC.	Spcode	Age_Mean_BP	Wolf_Dog_PCA	Dog_PCA
AH575	AH575		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/AH575_reheader.bam	Canis	lupus	AufhausenerHoehle	AufhausenerHoehle2	Germany	48.59	9.76	Pleistocene_Wolves	1.53	1.14	64.07	W	57233	Pleistocene_Wolves	Wolves
AL2022_Turkey	AL2022_Turkey		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/AL2022_Turkey_rmdup.bam	Canis	familiaris	Marmara	Marmara1	Turkey	41.01	28.93	African_NearEast_India_Dogs	2.6	2.84	90.83	D	1565	Dogs	African_NearEast_India_Dogs
AL2350_Botai	AL2350_Botai		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/AL2350_Botai_rmdup.bam	Canis	lupus	Botai	Botai1	Kazakhstan	53.22	67.87	Eastern_Eurasian_Wolves	1.43	1.52	75.5	W	5169	Eastern_Eurasian_Wolves	Wolves
AL2397_Italy	AL2397_Italy		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/AL2397_Italy_rmdup.bam	Canis	familiaris	BelverdeDiCetona	BelverdeDiCetona1	Italy	42.96	11.9	European_Dogs	1.5	1.81	80.61	D	4000	Dogs	European_Dogs
AL2541	AL2541		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/AL2541_rmdup_chrn.bam	Canis	lupus	Goyet	Goyet1	Belgium	50.44	5.01	Pleistocene_Wolves	0.79	1.07	62.37	W	34030	Pleistocene_Wolves	Wolves
AL2571_Iran	AL2571_Iran		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/AL2571_Iran_rmdup.bam	Canis	familiaris	TepeGhelaGap	TepeGhelaGap1	Iran	36.46	47.07	African_NearEast_India_Dogs	1.1	1.52	72.87	D	5826	Dogs	African_NearEast_India_Dogs
AL2741	AL2741		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/AL2741_rmdup_chrn.bam	Canis	lupus	Razboinichya	Razboinichya1	Russia	51.3	84.47	Pleistocene_Wolves	1.55	1.72	80.12	W	81793	Pleistocene_Wolves	Wolves
AL2744	AL2744		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/AL2744_reheader.bam	Canis	lupus	Razboinichya	Razboinichya2	Russia	51.3	84.47	Pleistocene_Wolves	3.04	3.09	93.2	W	28345	Pleistocene_Wolves	Wolves
AL3185_Pietrele	AL3185_Pietrele		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/AL3185_Pietrele_rmdup.bam	Canis	lupus	Pietrele	Pietrele1	Romania	43.88	24.93	Western_Eurasian_Wolves	4.21	4.52	96.1	W	6307	Western_Eurasian_Wolves	Wolves
ALPO01_02	ALPO01_02		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/ALPO01_02_P8903_1001_S1_L001_seqprep_reheader.bam	Canis	familiaris	AlymasPodunavlje	AlymasPodunavlje1	Croatia	45.53	18.95	European_Dogs	1.6	1.62	78.31	D	4500	Dogs	European_Dogs
ASHQ01_P8903	ASHQ01_P8903		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/ASHQ01_P8903_1002_S2_L002_seqprep_reheader.bam	Canis	familiaris	Ashkelon	Ashkelon1	Israel	31.67	34.57	African_NearEast_India_Dogs	2.4	2.61	88.54	D	2300	Dogs	African_NearEast_India_Dogs
ASHQ06_P8903	ASHQ06_P8903		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/ASHQ06_P8903_1003_S3_L003_seqprep_reheader.bam	Canis	familiaris	Ashkelon	Ashkelon2	Israel	31.67	34.57	African_NearEast_India_Dogs	1.8	1.94	82.01	D	2300	Dogs	African_NearEast_India_Dogs
ASHQ08_P8903	ASHQ08_P8903		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/ASHQ08_P8903_1004_S4_L004_seqprep_reheader.bam	Canis	familiaris	Ashkelon	Ashkelon3	Israel	31.67	34.57	African_NearEast_India_Dogs	2.2	2.3	85.98	D	2300	Dogs	African_NearEast_India_Dogs
C32_Gelyakh	C32_Gelyakh		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/C32_Gelyakh_Uruya_merged_P8902_seqprep_reheader.bam	Canis	familiaris	Bulgunnyakhtakh	Bulgunnyakhtakh1	Russia	70.7	138.21	Arctic_Dogs	7.2	7.27	98.71	D	100	Dogs	Arctic_Dogs
C5_Krasnosamarskoe	C5_Krasnosamarskoe		/projects/racimolab/people/qcj125/MUNICH_FILES/PUBLISHED_BAMS/PUBLISHED/C5_Krasnosamarskoe_merged_P8902_seqprep_reheader.bam	Canis	familiaris	Krasnosamarskoe	Krasnosamarskoe1	Russia	52.8	51.1	Arctic_Dogs	0.6	0.66	46.73	D	3800	Dogs	Arctic_Dogs
