run_accession	sample_id	bam_ftp
ERR4674807	AL2946	ftp.sra.ebi.ac.uk/vol1/err/ERR467/007/ERR4674807.bam
ERR4674810	AL2946	ftp.sra.ebi.ac.uk/vol1/err/ERR467/000/ERR4674810.bam
ERR4674817	OL4029	ftp.sra.ebi.ac.uk/vol1/err/ERR467/007/ERR4674817.bam
ERR4674818	OL4029	ftp.sra.ebi.ac.uk/vol1/err/ERR467/008/ERR4674818.bam
ERR4674819	OL4222	ftp.sra.ebi.ac.uk/vol1/err/ERR467/009/ERR4674819.bam
ERR4674821	OL4061_Veretye	ftp.sra.ebi.ac.uk/vol1/err/ERR467/001/ERR4674821.bam
ERR4674828	AL2946	ftp.sra.ebi.ac.uk/vol1/err/ERR467/008/ERR4674828.bam
ERR4674829	OL4222	ftp.sra.ebi.ac.uk/vol1/err/ERR467/009/ERR4674829.bam
ERR4674832	OL4223	ftp.sra.ebi.ac.uk/vol1/err/ERR467/002/ERR4674832.bam
ERR4674833	OL4223	ftp.sra.ebi.ac.uk/vol1/err/ERR467/003/ERR4674833.bam
ERR4674837	AL2022	ftp.sra.ebi.ac.uk/vol1/err/ERR467/007/ERR4674837.bam
ERR4674839	AL2022	ftp.sra.ebi.ac.uk/vol1/err/ERR467/009/ERR4674839.bam
ERR4674843	AL2571	ftp.sra.ebi.ac.uk/vol1/err/ERR467/003/ERR4674843.bam
ERR4674844	AL2571	ftp.sra.ebi.ac.uk/vol1/err/ERR467/004/ERR4674844.bam
ERR4674846	AL2397	ftp.sra.ebi.ac.uk/vol1/err/ERR467/006/ERR4674846.bam
ERR4674847	OL4222	ftp.sra.ebi.ac.uk/vol1/err/ERR467/007/ERR4674847.bam
ERR4674851	ALPO01	ftp.sra.ebi.ac.uk/vol1/err/ERR467/001/ERR4674851.bam
ERR4674853	ASHQ01	ftp.sra.ebi.ac.uk/vol1/err/ERR467/003/ERR4674853.bam
ERR4674857	C88	ftp.sra.ebi.ac.uk/vol1/err/ERR467/007/ERR4674857.bam
ERR4674858	THRZ02	ftp.sra.ebi.ac.uk/vol1/err/ERR467/008/ERR4674858.bam
ERR4674863	C26	ftp.sra.ebi.ac.uk/vol1/err/ERR467/003/ERR4674863.bam
ERR4674806	F3781	ftp.sra.ebi.ac.uk/vol1/err/ERR467/006/ERR4674806.bam
ERR4674811	OL4029	ftp.sra.ebi.ac.uk/vol1/err/ERR467/001/ERR4674811.bam
ERR4674812	OL4029	ftp.sra.ebi.ac.uk/vol1/err/ERR467/002/ERR4674812.bam
ERR4674815	OL4029	ftp.sra.ebi.ac.uk/vol1/err/ERR467/005/ERR4674815.bam
ERR4674820	OL4222	ftp.sra.ebi.ac.uk/vol1/err/ERR467/000/ERR4674820.bam
ERR4674822	OL4061_Veretye	ftp.sra.ebi.ac.uk/vol1/err/ERR467/002/ERR4674822.bam
ERR4674823	AL2946	ftp.sra.ebi.ac.uk/vol1/err/ERR467/003/ERR4674823.bam
ERR4674824	AL2946	ftp.sra.ebi.ac.uk/vol1/err/ERR467/004/ERR4674824.bam
ERR4674826	AL2946	ftp.sra.ebi.ac.uk/vol1/err/ERR467/006/ERR4674826.bam
ERR4674835	OL4061_Veretye	ftp.sra.ebi.ac.uk/vol1/err/ERR467/005/ERR4674835.bam
ERR4674836	OL4061_Veretye	ftp.sra.ebi.ac.uk/vol1/err/ERR467/006/ERR4674836.bam
ERR4674840	AL2571	ftp.sra.ebi.ac.uk/vol1/err/ERR467/000/ERR4674840.bam
ERR4674842	AL2022	ftp.sra.ebi.ac.uk/vol1/err/ERR467/002/ERR4674842.bam
ERR4674845	AL2397	ftp.sra.ebi.ac.uk/vol1/err/ERR467/005/ERR4674845.bam
ERR4674848	OL4222	ftp.sra.ebi.ac.uk/vol1/err/ERR467/008/ERR4674848.bam
ERR4674850	ASHQ08	ftp.sra.ebi.ac.uk/vol1/err/ERR467/000/ERR4674850.bam
ERR4674856	SOTN01	ftp.sra.ebi.ac.uk/vol1/err/ERR467/006/ERR4674856.bam
ERR4674859	C62	ftp.sra.ebi.ac.uk/vol1/err/ERR467/009/ERR4674859.bam
ERR4674868	UZAA02	ftp.sra.ebi.ac.uk/vol1/err/ERR467/008/ERR4674868.bam
ERR4674808	AL2946	ftp.sra.ebi.ac.uk/vol1/err/ERR467/008/ERR4674808.bam
ERR4674809	AL2946	ftp.sra.ebi.ac.uk/vol1/err/ERR467/009/ERR4674809.bam
ERR4674813	OL4029	ftp.sra.ebi.ac.uk/vol1/err/ERR467/003/ERR4674813.bam
ERR4674814	OL4029	ftp.sra.ebi.ac.uk/vol1/err/ERR467/004/ERR4674814.bam
ERR4674816	OL4029	ftp.sra.ebi.ac.uk/vol1/err/ERR467/006/ERR4674816.bam
ERR4674825	OL4223	ftp.sra.ebi.ac.uk/vol1/err/ERR467/005/ERR4674825.bam
ERR4674827	OL4223	ftp.sra.ebi.ac.uk/vol1/err/ERR467/007/ERR4674827.bam
ERR4674830	AL2397	ftp.sra.ebi.ac.uk/vol1/err/ERR467/000/ERR4674830.bam
ERR4674831	AL2397	ftp.sra.ebi.ac.uk/vol1/err/ERR467/001/ERR4674831.bam
ERR4674834	OL4222	ftp.sra.ebi.ac.uk/vol1/err/ERR467/004/ERR4674834.bam
ERR4674838	AL2571	ftp.sra.ebi.ac.uk/vol1/err/ERR467/008/ERR4674838.bam
ERR4674841	AL2022	ftp.sra.ebi.ac.uk/vol1/err/ERR467/001/ERR4674841.bam
ERR4674849	AL2397	ftp.sra.ebi.ac.uk/vol1/err/ERR467/009/ERR4674849.bam
ERR4674852	ASHQ06	ftp.sra.ebi.ac.uk/vol1/err/ERR467/002/ERR4674852.bam
ERR4674854	C90	ftp.sra.ebi.ac.uk/vol1/err/ERR467/004/ERR4674854.bam
ERR4674855	SOTN01	ftp.sra.ebi.ac.uk/vol1/err/ERR467/005/ERR4674855.bam
ERR4674860	UZAA01	ftp.sra.ebi.ac.uk/vol1/err/ERR467/000/ERR4674860.bam
ERR4674861	C94	ftp.sra.ebi.ac.uk/vol1/err/ERR467/001/ERR4674861.bam
ERR4674862	TGEZ06	ftp.sra.ebi.ac.uk/vol1/err/ERR467/002/ERR4674862.bam
ERR4674864	C5	ftp.sra.ebi.ac.uk/vol1/err/ERR467/004/ERR4674864.bam
ERR4674865	C89	ftp.sra.ebi.ac.uk/vol1/err/ERR467/005/ERR4674865.bam
