Sample	Dog_PCA	Wolf_Dog_PCA
511	Arctic_Dogs	Arctic_Dogs
525	Arctic_Dogs	Arctic_Dogs
Affenpinscher01_33500	European_Dogs	European_Dogs
Affenpinscher02_34310	European_Dogs	European_Dogs
Affenpinscher03_34314	European_Dogs	European_Dogs
AfghanHound01	African_NearEast_India_Dogs	African_NearEast_India_Dogs
AfghanHound03	African_NearEast_India_Dogs	African_NearEast_India_Dogs
AfghanHound04	African_NearEast_India_Dogs	African_NearEast_India_Dogs
AfricanGoldenWolf01	Wolves	Outgroup
AfricanGoldenWolf02	Wolves	Outgroup
AfricanGoldenWolf03	Wolves	Outgroup
AfricanGoldenWolf04	Wolves	Outgroup
AfricanGoldenWolf05	Wolves	Outgroup
AfricanGoldenWolf06	Wolves	Outgroup
AfricanWildDog01	Wolves	Outgroup
AfricanWildDog02	Wolves	Outgroup
AfricanWildDog03	Wolves	Outgroup
AiredaleTerrier01	European_Dogs	European_Dogs
AiredaleTerrier02	European_Dogs	European_Dogs
AiredaleTerrier05	European_Dogs	European_Dogs
AiredaleTerrier06	European_Dogs	European_Dogs
Akbash01_15287	African_NearEast_India_Dogs	African_NearEast_India_Dogs
Akita01_12758	East_Asian_Dogs	East_Asian_Dogs
AlapahaBlueBloodBulldog01	European_Dogs	European_Dogs
AlapahaBlueBloodBulldog02	European_Dogs	European_Dogs
AlaskanHusky01	Arctic_Dogs	Arctic_Dogs
AlaskanHusky02	Arctic_Dogs	Arctic_Dogs
AlaskanMalamute01_30099	Arctic_Dogs	Arctic_Dogs
AlaskanMalamute01_Reseq_30099	Arctic_Dogs	Arctic_Dogs
AlaskanMalamute02	Arctic_Dogs	Arctic_Dogs
AlaskanMalamute03	Arctic_Dogs	Arctic_Dogs
AlaskanMalamute04	Arctic_Dogs	Arctic_Dogs
AlaskanWolf	Wolves	North_American_Wolves
AlgonquinWolf13467	Wolves	North_American_Wolves
AlgonquinWolf13470	Wolves	North_American_Wolves
AlpineDachsbrake02	European_Dogs	European_Dogs
AmericanEskimoDog01_10800	European_Dogs	European_Dogs
AmericanEskimoDog02_10808	European_Dogs	European_Dogs
AmericanEskimoDog03_10810	European_Dogs	European_Dogs
AmericanEskimoDog04_8380	European_Dogs	European_Dogs
AmericanEskimoDog05_10805	European_Dogs	European_Dogs
AmericanEskimoDog06_10809	European_Dogs	European_Dogs
AmericanEskimoDog07_15300	European_Dogs	European_Dogs
AmericanEskimoDog08_15301	European_Dogs	European_Dogs
AmericanEskimoDog09_15304	European_Dogs	European_Dogs
AmericanFoxhound01_34454	European_Dogs	European_Dogs
AmericanHairlessTerrier01_1121	European_Dogs	European_Dogs
AmericanHairlessTerrier01_Reseq_1121	European_Dogs	European_Dogs
AmericanHairlessTerrier02_1118	European_Dogs	European_Dogs
AmericanHairlessTerrier04_1124	European_Dogs	European_Dogs
AmericanStaffordshireTerrier01	European_Dogs	European_Dogs
AmericanStaffordshireTerrier02_24262	European_Dogs	European_Dogs
AmericanStaffordshireTerrier03_29583	European_Dogs	European_Dogs
AmericanStaffordshireTerrier04	European_Dogs	European_Dogs
AmericanStaffordshireTerrier05	European_Dogs	European_Dogs
AmericanStaffordshireTerrier06_24030	European_Dogs	European_Dogs
AmericanWaterSpaniel01_987	European_Dogs	European_Dogs
AmericanWaterSpaniel02_988	European_Dogs	European_Dogs
AmericanWaterSpaniel03_29580	European_Dogs	European_Dogs
AnatolianShepherdDog01_7584	European_Dogs	European_Dogs
AustralianCattleDog01	European_Dogs	European_Dogs
AustralianCattleDog02	European_Dogs	European_Dogs
AustralianCattleDog03	European_Dogs	European_Dogs
AustralianCattleDog04	European_Dogs	European_Dogs
AustralianCattleDog06	European_Dogs	European_Dogs
AustralianCattleDog07_9994	European_Dogs	European_Dogs
AustralianCattleDog08_25269	European_Dogs	European_Dogs
AustralianShepherd01_27104	European_Dogs	European_Dogs
AustralianShepherd02_30713	European_Dogs	European_Dogs
AustralianShepherd03_31260	European_Dogs	European_Dogs
AustralianShepherd04_33489	European_Dogs	European_Dogs
AustralianShepherd05_33555	European_Dogs	European_Dogs
AustralianShepherd06	European_Dogs	European_Dogs
AustralianShepherd07_29479	European_Dogs	European_Dogs
AustralianTerrier01	European_Dogs	European_Dogs
AustralianTerrier02_30508	European_Dogs	European_Dogs
AustralianTerrier03_8663	European_Dogs	European_Dogs
Basenji01	African_NearEast_India_Dogs	African_NearEast_India_Dogs
Basenji02	African_NearEast_India_Dogs	African_NearEast_India_Dogs
Basenji03	African_NearEast_India_Dogs	African_NearEast_India_Dogs
Basenji04	African_NearEast_India_Dogs	African_NearEast_India_Dogs
Basenji05	African_NearEast_India_Dogs	African_NearEast_India_Dogs
Basenji06	African_NearEast_India_Dogs	African_NearEast_India_Dogs
BassetHound01_10376	European_Dogs	European_Dogs
BassetHound02_12885	European_Dogs	European_Dogs
BassetHound03_13196	European_Dogs	European_Dogs
BassetHound04	European_Dogs	European_Dogs
BavarianHound01	European_Dogs	European_Dogs
Beagle01_16145	European_Dogs	European_Dogs
Beagle02	European_Dogs	European_Dogs
Beagle03	European_Dogs	European_Dogs
Beagle04	European_Dogs	European_Dogs
Beagle05	European_Dogs	European_Dogs
BeardedCollie01	European_Dogs	European_Dogs
BeardedCollie02	European_Dogs	European_Dogs
BeardedCollie03	European_Dogs	European_Dogs
BeardedCollie04	European_Dogs	European_Dogs
BeardedCollie05	European_Dogs	European_Dogs
BeardedCollie06	European_Dogs	European_Dogs
BeardedCollie07	European_Dogs	European_Dogs
Beauceron01_29598	European_Dogs	European_Dogs
Beauceron02_31956	European_Dogs	European_Dogs
BedlingtonTerrier01_27328	European_Dogs	European_Dogs
BedlingtonTerrier02_33486	European_Dogs	European_Dogs
BedlingtonTerrier03_33606	European_Dogs	European_Dogs
BedlingtonTerrier04_28914	European_Dogs	European_Dogs
BedlingtonTerrier05_31124	European_Dogs	European_Dogs
BelgianLaekenois01_34575	European_Dogs	European_Dogs
